Category,Tool,Latest Version,License,Stage
"Build, Test, Deploy",markbaker/complex,3.0.2,,
"Build, Test, Deploy",markbaker/matrix,2.1.4,,
"Build, Test, Deploy",markdown,v0.6.0-beta1,,
"Build, Test, Deploy",mashape/unirest-php,v3.0.4,,
"Build, Test, Deploy",mcamara/laravel-localization,v1.8.0,,
"Build, Test, Deploy",Micro,4.6.0,Apache-2.0,Restricted
"Build, Test, Deploy",microbundle,0.15.1,MIT,Approved
"Build, Test, Deploy",mikey179/vfsStream,v1.6.6,,
"Build, Test, Deploy",misd/phone-number-bundle,v1.3.2,,
"Build, Test, Deploy",Mocha,10.7.0,MIT,Approved
"Build, Test, Deploy",mockery/mockery,1.6.5,,
"Build, Test, Deploy",Mockito,5.12.0,MIT,Approved
"Build, Test, Deploy",Modernizr,v3.13.0,,
"Build, Test, Deploy",moment,2.29.4,,
"Build, Test, Deploy",moment/moment,2.29.1,,
"Build, Test, Deploy",mongodb/mongodb,1.15.0,,
"Build, Test, Deploy",monolog/monolog,3.5.0,,
"Build, Test, Deploy",Moq,4.20.70,,Restricted
"Build, Test, Deploy",mpdf/mpdf,v8.2.2,,
"Build, Test, Deploy",mtdowling/jmespath.php,2.7.0,,
"Build, Test, Deploy",myclabs/deep-copy,1.11.1,,
"Build, Test, Deploy",myclabs/php-enum,1.8.4,,
"Build, Test, Deploy",nette/neon,v3.4.0,,
"Build, Test, Deploy",next-auth,4.24.7,,
"Build, Test, Deploy",ng-file-upload,12.2.13,,
"Build, Test, Deploy",ngrok,,,Restricted
"Build, Test, Deploy",Nightwatchjs,3.7.0,MIT,Prohibited
"Build, Test, Deploy",Ninject,3.3.6,,Restricted
"Build, Test, Deploy",npm,v5.2.0 (2017-07-05),,Approved
"Build, Test, Deploy",NuGet,,,Approved
"Build, Test, Deploy",NUnit,3.13.3,,Approved
"Build, Test, Deploy",nunomaduro/collision,v7.9.0,,
"Build, Test, Deploy",ocramius/package-versions,2.8.0,,
"Build, Test, Deploy",octokit,2.0.1,,Approved
"Build, Test, Deploy",onelogin/php-saml,4.1.0,,
"Build, Test, Deploy",OpenAI,1.3.7,,
"Build, Test, Deploy",OpenAI,4.45.0,,
"Build, Test, Deploy",Pact,1.64.0,MIT,
"Build, Test, Deploy",page,v1.11.6,,
"Build, Test, Deploy",paragonie/random_compat,v2.0.21,,
"Build, Test, Deploy",parcel,2.12.0,MIT,Approved
"Build, Test, Deploy",pdepend/pdepend,2.15.1,,
"Build, Test, Deploy",PhantomJS,,BSD-3-Clause,Approved
"Build, Test, Deploy",phone_number_js,1.0.0,,
"Build, Test, Deploy",php-amqplib/php-amqplib,v3.6.0,,
"Build, Test, Deploy",phpcompatibility/php-compatibility,9.3.5,,
"Build, Test, Deploy",phpcompatibility/phpcompatibility-wp,2.1.4,,
"Build, Test, Deploy",php-console/php-console,3.1.8,,
"Build, Test, Deploy",php-coveralls/php-coveralls,v2.6.0,,
"Build, Test, Deploy",phpdocumentor/phpdocumentor,v3.4.2,,
"Build, Test, Deploy",phpdocumentor/reflection-docblock,5.3.0,,
"Build, Test, Deploy",phploc/phploc,7.0.2,,
"Build, Test, Deploy",phpmd/phpmd,2.14.1,,
"Build, Test, Deploy",phpoffice/phpspreadsheet,1.29.0,,
"Build, Test, Deploy",PhpSpec,,,Restricted
"Build, Test, Deploy",phpspec/phpspec,7.4.0,,
"Build, Test, Deploy",phpspec/prophecy,v1.17.0,,
"Build, Test, Deploy",PHPStan,1.11.9,MIT,Restricted
"Build, Test, Deploy",phpstan/phpdoc-parser,1.24.3,,
"Build, Test, Deploy",phpstan/phpstan,1.10.42,,
"Build, Test, Deploy",phpstan/phpstan-phpunit,1.3.12,,
"Build, Test, Deploy",PHPUnit,11.3.0,BSD-3-Clause,Restricted
"Build, Test, Deploy",phpunit/php-token-stream,3.1.2,,
"Build, Test, Deploy",phpunit/phpunit,10.4.2,,
"Build, Test, Deploy",pimple/pimple,v3.5.0,,
"Build, Test, Deploy",pip,,,Approved
"Build, Test, Deploy",Playwright,1.45.3,Apache-2.0,Approved
"Build, Test, Deploy",Polly,8.4.1,BSD-3-Clause,Restricted
"Build, Test, Deploy",pre-commit,,,Approved
"Build, Test, Deploy",predis/predis,v2.2.1,,
"Build, Test, Deploy",presta/sitemap-bundle,v3.2.1,,
"Build, Test, Deploy",Prettier,3.3.3,MIT,Approved
"Build, Test, Deploy",Prisma,5.13.0,,
"Build, Test, Deploy",Protractor,7.0.0,MIT,Approved
"Build, Test, Deploy",psr/container,1.1.2,,
"Build, Test, Deploy",psr/http-client,1.0.3,,
"Build, Test, Deploy",psr/http-factory,1.0.2,,
"Build, Test, Deploy",psr/http-message,2,,
"Build, Test, Deploy",psr/log,3.0.0,,
"Build, Test, Deploy",psr/simple-cache,3.0.0,,
"Build, Test, Deploy",Puppet Labs,8.8.1,Apache-2.0,Approved
"Build, Test, Deploy",puppeteer,22.7.1,Apache-2.0,Approved
"Build, Test, Deploy",PyCharm,,,Approved
"Build, Test, Deploy",Pylint,3.2.6,GPL-2.0,Approved
"Build, Test, Deploy",PyPI,,,Approved
"Build, Test, Deploy",Pyright,1.1.374,,
"Build, Test, Deploy",pytest,8.3.2,MIT,Approved
"Build, Test, Deploy",QUnit,2.19.3,,
"Build, Test, Deploy",QUnit,2.20.1,MIT,Restricted
"Build, Test, Deploy",react-error-boundary,4.0.12,,
"Build, Test, Deploy",react-tabs,6.0.2,,
"Build, Test, Deploy",react-testing-library,16.0.0,MIT,Approved
"Build, Test, Deploy",remark-gfm,4.0.0,,
"Build, Test, Deploy",RequireJS,,,Approved
"Build, Test, Deploy",RequireJS,2.3.6,,
"Build, Test, Deploy",robloach/component-installer,0.2.3,,
"Build, Test, Deploy",rollbar/rollbar,v4.0.1,,
"Build, Test, Deploy",rollup,4.17.1,,Approved
"Build, Test, Deploy",Rome,10.0.7,MIT,Prohibited
"Build, Test, Deploy",Roslyn,6.0.1,MIT,Restricted
"Build, Test, Deploy",RSpec,3.10.0,MIT,Trial
"Build, Test, Deploy",RuboCop,1.64.1,MIT,Restricted
"Build, Test, Deploy",RubyGems,,,Approved
"Build, Test, Deploy",ruflin/elastica,7.3.1,,
"Build, Test, Deploy",satooshi/php-coveralls,v2.2.0,,
"Build, Test, Deploy",ScalaTest,3.2.19,Apache-2.0,Prohibited
"Build, Test, Deploy",Scalr,,,Prohibited
"Build, Test, Deploy",scss-lint,0.60.0,MIT,Restricted
"Build, Test, Deploy",sebastian/comparator,5.0.0,,
"Build, Test, Deploy",sebastian/phpcpd,6.0.3,,
"Build, Test, Deploy",sebastian/version,4.0.1,,
"Build, Test, Deploy",selenium,4.4.3,Apache-2.0,Approved
"Build, Test, Deploy",sendgrid/php-http-client,4.0.0,,
"Build, Test, Deploy",sendgrid/sendgrid,8.0.0,,
"Build, Test, Deploy",sensio/framework-extra-bundle,v6.2.10,,
"Build, Test, Deploy",sentry/sentry,3.22.1,,
"Build, Test, Deploy",Serverspec,2.41.8,MIT,Restricted
"Build, Test, Deploy",Simple Injector,5.4.3,MIT,Prohibited
"Build, Test, Deploy",sinon,v14.0.2,,
"Build, Test, Deploy",SinonJS,17.0.2,,Approved
"Build, Test, Deploy",sizzle,2.3.10,,
"Build, Test, Deploy",Snyk,1.1291.0,,Approved
"Build, Test, Deploy",SonarQube,10.6.0,LGPL-3.0,Approved
"Build, Test, Deploy",sonata-project/doctrine-orm-admin-bundle,4.14.0,,
"Build, Test, Deploy",spatie/dropbox-api,1.22.0,,
"Build, Test, Deploy",spatie/flysystem-dropbox,3.0.1,,
"Build, Test, Deploy",SpecFlow,,,Approved
"Build, Test, Deploy",split,,,Approved
"Build, Test, Deploy",Spock Framework,,Apache-2.0,Restricted
"Build, Test, Deploy",Spyder,5.5.5,MIT,Approved
"Build, Test, Deploy",squizlabs/php_codesniffer,3.7.2,,
"Build, Test, Deploy",Standard JS,,,Approved
"Build, Test, Deploy",stripe/stripe-php,v13.4.0-beta.1,,
"Build, Test, Deploy",StyleCI,,,Prohibited
"Build, Test, Deploy",Stylelint,16.5.0,MIT,Approved
"Build, Test, Deploy",SuperTest,6.3.4,MIT,Approved
"Build, Test, Deploy",swiftmailer/swiftmailer,v6.3.0,,
"Build, Test, Deploy",symfony/asset,v6.2.5,,
"Build, Test, Deploy",symfony/browser-kit,v6.2.5,,
"Build, Test, Deploy",symfony/cache,v6.2.5,,
"Build, Test, Deploy",symfony/console,v6.2.5,,
"Build, Test, Deploy",symfony/css-selector,v6.2.5,,
"Build, Test, Deploy",symfony/debug-bundle,v6.2.5,,
"Build, Test, Deploy",symfony/dom-crawler,v6.2.5,,
"Build, Test, Deploy",symfony/dotenv,v6.2.5,,
"Build, Test, Deploy",symfony/error-handler,v6.2.5,,
"Build, Test, Deploy",symfony/event-dispatcher,v6.2.5,,
"Build, Test, Deploy",symfony/event-dispatcher-contracts,v3.2.1,,
"Build, Test, Deploy",symfony/expression-language,v6.2.5,,
"Build, Test, Deploy",symfony/flex,v2.4.1,,
"Build, Test, Deploy",symfony/form,v6.2.5,,
"Build, Test, Deploy",symfony/framework-bundle,v6.3.0-BETA3,,
"Build, Test, Deploy",symfony/http-client,v6.2.5,,
"Build, Test, Deploy",symfony/http-client-contracts,v3.2.1,,
"Build, Test, Deploy",symfony/http-foundation,v5.4.30,,
"Build, Test, Deploy",symfony/intl,v5.4.19,,
"Build, Test, Deploy",symfony/mailer,v6.0.19,,
"Build, Test, Deploy",symfony/maker-bundle,v1.51.1,,
"Build, Test, Deploy",symfony/mime,v6.0.19,,
"Build, Test, Deploy",symfony/monolog-bundle,v3.10.0,,
"Build, Test, Deploy",symfony/orm-pack,v2.4.0,,
"Build, Test, Deploy",symfony/phpunit-bridge,v6.2.5,,
"Build, Test, Deploy",symfony/polyfill,v1.28.0,,
